Country,Country Code,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT)
Algeria,DZA,1977.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,6.0,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-6.21,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1978.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,6.3,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-7.32,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1979.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,9.5,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-7.82,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1980.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.7,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.61,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1981.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,14.1,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-10.11,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1982.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.5,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.92,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1983.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.7,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.54,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1984.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.8,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.24,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1985.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.0,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-8.81,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1986.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,8.1,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-8.53,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1987.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,9.0,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-7.27,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1988.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,7.6,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-7.69,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1989.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,9.6,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.47,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1990.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.9,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.77,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1991.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.4,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-7.77,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1992.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,11.5,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-8.3,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1993.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,10.4,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-7.99,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1994.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,8.9,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.15,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1995.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,10.3,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-10.1,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1996.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.2,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.09,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1997.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.8,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-8.13,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1998.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,10.1,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-8.63,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,1999.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.3,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-8.96,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,2000.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,21.7,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.35,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,2001.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,19.1,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-9.48,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
Algeria,DZA,2002.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,18.7,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.203333333335,8585.0,-12.01,5.2025,10.0,18560025.0,1960688.0,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575
